,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied
66,randomSeq_2G_int,10,96,48,5.326,2024-10-28 03:49:19.145700,2024-10-28 03:50:14.991500,1308.365740609266,163.72650415174488,1497.4375866425994,178.69691371841154,1497.4375866425994,167.46910654341156,7559.800848375451,281.15613718411555,33.55180505415162,511.296,255.648,1.81891991163538e-05,1.2463145624577203e-05,1664.906693186011,0.1414246609606899,0.0158165267290999,0.1572411876897899,0.0093000647513952,0.0031861782526319,0.0124862430040271,0.169727430693817,removeDuplicates,340,False,False,False,False
67,randomSeq_2G_int,10,96,88,5.314,2024-10-29 20:29:08.725700,2024-10-29 20:30:04.347800,1307.97825063674,165.4707111092458,1496.6240992700732,180.40739087591243,1496.6240992700732,172.3166893356347,8014.574872262772,281.6379562043796,33.94945255474453,510.144,467.632,1.81891991163538e-05,1.2463145624577203e-05,1668.940788605708,0.1413478315977291,0.0162743539928099,0.157622185590539,0.0092791107940131,0.0058281657147122,0.0151072765087254,0.1727294620992645,removeDuplicates,340,False,False,False,False
68,randomSeq_2G_int,10,64,96,5.117,2024-10-27 23:16:38.999500,2024-10-27 23:17:32.632200,1237.7316750384734,148.43999111666662,1419.38406635514,162.82293999999996,1358.8332692495846,155.63146555833328,5040.1888224299055,277.3859813084112,31.82,327.488,491.232,1.81891991163538e-05,1.2463145624577203e-05,1514.464734807918,0.1283342532069052,0.0146985273027314,0.1430327805096367,0.0059567444402164,0.0061222959514523,0.0120790403916687,0.1551118209013054,removeDuplicates,340,False,False,False,False
69,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.1239067745376029,0.0138209404286862,0.1377277149662891,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.144768175661011,removeDuplicates,340,True,False,False,False
70,randomSeq_2G_int,10,96,16,75.342,2024-10-29 05:41:12.946700,2024-10-29 05:53:50.730200,9145.693898016489,1149.8160787919662,11820.31857391649,1361.5886280919665,11820.31857391649,1167.463791233633,849.9475488900634,156.8888345665962,18.07210623678647,7232.832,1205.472,1.81891991163538e-05,1.2463145624577203e-05,12987.782365150122,1.1163634208698907,0.1102604691720653,1.2266238900419562,0.1315594214231354,0.0150239730823503,0.1465833945054858,1.373207284547442,removeDuplicates,340,False,False,False,False
71,randomSeq_2G_int,10,80,192,5.193,2024-10-27 22:03:31.641900,2024-10-27 22:04:26.033500,1264.4591894753237,155.3268360740296,1448.8095643253237,169.9234070240296,1418.0845018503237,169.9234070240296,6558.751645101664,278.99279112754164,32.72162661737524,415.44,997.056,1.81891991163538e-05,1.2463145624577203e-05,1588.0079088743532,0.1339302029525305,0.0160483217744916,0.1499785247270222,0.007556520880898,0.0124264541238584,0.0199829750047564,0.1699614997317787,removeDuplicates,340,False,False,False,False
72,randomSeq_2G_int,10,32,16,74.154,2024-10-29 07:04:12.435200,2024-10-29 07:16:38.968000,7754.463914788017,1046.3831179937877,10386.914848088018,1254.8164170937875,8631.947559221351,1063.7525595854545,550.5903059170804,140.07221253186637,16.92176304843687,2372.928,1186.464,1.81891991163538e-05,1.2463145624577203e-05,9695.700118806806,0.8152394917042387,0.100465519516404,0.9157050112206429,0.0431616598807711,0.0147870736103183,0.0579487334910895,0.9736537447117324,removeDuplicates,340,False,False,False,False
73,randomSeq_2G_int,10,32,192,5.702,2024-10-27 22:28:11.168300,2024-10-27 22:29:10.600500,1302.005898732997,145.73769542053867,1504.4256632996637,161.764972053872,1369.4791535885522,161.764972053872,2628.5022222222224,263.84175084175087,28.369865319865315,182.464,1094.784,1.81891991163538e-05,1.2463145624577203e-05,1531.2441256424245,0.1293396978389188,0.015277802916199,0.1446175007551178,0.0033188740275663,0.0136444524194571,0.0169633264470235,0.1615808272021413,removeDuplicates,340,False,False,False,False
74,randomSeq_2G_int,10,48,96,5.135,2024-10-27 23:29:07.635200,2024-10-27 23:30:01.465400,1232.5531544827743,142.89635399581007,1414.8445418994413,157.3298975791434,1323.6988481911078,150.11312578747675,3806.986759776537,275.5296089385475,30.63873370577281,246.48,492.96,1.81891991163538e-05,1.2463145624577203e-05,1473.8119739785843,0.1250160023291602,0.0141773507688172,0.1391933530979774,0.0044832737981988,0.0061438322670915,0.0106271060652904,0.1498204591632679,removeDuplicates,340,False,False,False,False
75,randomSeq_2G_int,10,96,192,5.316,2024-10-27 21:51:41.351400,2024-10-27 21:52:36.994800,1294.9250054764702,164.15706110000002,1483.6418536764702,179.0993625,1483.6418536764702,179.0993625,7573.957555147059,279.0898897058823,33.690625000000004,510.336,1020.672,1.81891991163538e-05,1.2463145624577203e-05,1662.7412161764703,0.1401217306249999,0.0169149397916666,0.1570366704166666,0.0092826031202435,0.0127207837709284,0.0220033868911719,0.1790400573078386,removeDuplicates,340,False,False,False,False
76,randomSeq_2G_int,10,32,96,5.664,2024-10-27 23:41:45.611700,2024-10-27 23:42:44.626600,1305.841716164346,145.2304315137521,1506.912488964346,161.1508971137521,1372.8653070976793,153.1906643137521,2625.5669269949067,266.0509337860781,28.45178268251273,181.248,543.7439999999999,1.81891991163538e-05,1.2463145624577203e-05,1526.0559714114315,0.1296595012258919,0.0144680071851876,0.1441275084110796,0.0032967559614408,0.0067767606544901,0.0100735166159309,0.1542010250270106,removeDuplicates,340,False,False,False,False
77,randomSeq_2G_int,10,80,40,5.175,2024-10-29 21:04:05.175100,2024-10-29 21:04:59.851200,1252.082893228022,155.65465561813187,1435.794271978022,170.20063186813186,1405.175708853022,158.68506733688187,6263.640402930403,277.4481684981685,32.88901098901099,414.0,207.0,1.81891991163538e-05,1.2463145624577203e-05,1563.8607761899038,0.132711039169452,0.014986923026261,0.1476979621957131,0.0075303284341704,0.0025798711442874,0.0101101995784579,0.1578081617741711,removeDuplicates,340,False,False,False,False
0,randomSeq_2G_int,10,16,56,7.797,2024-10-29 20:57:35.212900,2024-10-29 20:58:55.344800,1335.5741849749998,157.9589032,1612.365995625,179.87484075,1381.7061534166664,164.35105165208333,1439.4943625000008,206.793125,23.069750000000003,124.752,436.632,1.81891991163538e-05,1.2463145624577203e-05,1546.0572050687497,0.134332542693287,0.0159785744661747,0.1503111171594617,0.0022691389681633,0.0054418082003503,0.0077109471685137,0.1580220643279755,removeDuplicates,350,False,False,False,False
1,randomSeq_2G_int,10,48,56,5.187,2024-10-29 20:54:17.838800,2024-10-29 20:55:12.262700,1239.509420713469,145.02868620092255,1423.646796863469,159.60839225092255,1331.5781087884689,149.2811004655059,3809.665590405904,274.4643911439115,30.77084870848709,248.976,290.47200000000004,1.81891991163538e-05,1.2463145624577203e-05,1480.8592092539748,0.1294589827988789,0.0145134403230352,0.1439724231219142,0.0045286740391933,0.0036201948358621,0.0081488688750554,0.1521212919969697,removeDuplicates,350,False,False,False,False
2,randomSeq_2G_int,10,80,32,17.31,2024-10-29 05:08:34.472700,2024-10-29 05:11:32.556700,2162.459881546119,273.7878107440945,2776.961131046119,322.4430472440945,2674.5442561294526,281.8970168274278,2260.604668166479,160.42525309336332,18.627559055118112,1384.8,553.92,1.81891991163538e-05,1.2463145624577203e-05,2956.4412729568803,0.2600251360125856,0.0274066544137777,0.2874317904263633,0.0251884029363267,0.0069035856243658,0.0320919885606925,0.3195237789870559,removeDuplicates,350,False,False,False,False
3,randomSeq_2G_int,10,32,24,9.302,2024-10-29 21:54:39.510700,2024-10-29 21:56:17.089700,1661.5015706694728,190.022140040178,1991.7205552361395,216.16835667351128,1771.5745655250284,193.29041711934465,1963.4798665297744,214.117453798768,23.23891170431212,297.664,223.248,1.81891991163538e-05,1.2463145624577203e-05,1964.8649826443727,0.1722364160927111,0.0187921238866029,0.191028539979314,0.0054142697657703,0.0027823723343956,0.0081966421001659,0.1992251820794799,removeDuplicates,350,False,False,False,False
4,randomSeq_2G_int,10,96,64,5.31,2024-10-28 01:48:25.816300,2024-10-28 01:49:21.408300,1306.6042285399271,163.54742193920143,1495.1080780399272,178.47285843920142,1495.1080780399272,168.52256743920142,7823.3712885662435,281.564609800363,33.61070780399274,509.76,339.84,1.81891991163538e-05,1.2463145624577203e-05,1663.6306454791286,0.1453577298094373,0.0163841385010334,0.1617418683104708,0.0092721261415525,0.0042354754090563,0.0135076015506088,0.1752494698610796,removeDuplicates,350,False,False,False,False
5,randomSeq_2G_int,10,80,56,5.216,2024-10-29 20:51:17.188800,2024-10-29 20:52:11.918600,1276.9546360156862,157.3708979137255,1462.121505882353,172.03211764705884,1431.2603609045752,161.6470870026144,6349.212665441177,280.31470588235294,32.981617647058826,417.28,292.096,1.81891991163538e-05,1.2463145624577203e-05,1592.9074479071896,0.1391503128657225,0.015715689014143,0.1548660018798656,0.0075899890072721,0.0036404349843565,0.0112304239916286,0.1660964258714942,removeDuplicates,350,False,False,False,False
6,randomSeq_2G_int,10,64,64,5.15,2024-10-28 02:27:43.688100,2024-10-28 02:28:37.684300,1249.205409513631,149.18995401796778,1432.029293680297,163.66565985130111,1371.087998958075,154.01518929574556,5039.483568773235,278.06394052044607,31.779739776951672,329.6,329.6,1.81891991163538e-05,1.2463145624577203e-05,1525.1031882538207,0.1333002221209239,0.0149736989593085,0.1482739210802325,0.0059951600287502,0.0041078527978606,0.0101030128266108,0.1583769339068434,removeDuplicates,350,False,False,False,False
7,randomSeq_2G_int,10,64,32,6.12,2024-10-29 05:15:13.378900,2024-10-29 05:16:22.548400,1261.799865130435,153.55378460869565,1479.0585391304348,170.75598260869566,1406.6389811304348,156.42081760869564,4116.616594202898,241.676231884058,27.901304347826088,391.68,195.84,1.81891991163538e-05,1.2463145624577203e-05,1563.0597987391304,0.1367565676099033,0.0152075794897342,0.1519641470996376,0.0071243455098934,0.0024407824391171,0.0095651279490106,0.1615292750486483,removeDuplicates,350,False,False,False,False
8,randomSeq_2G_int,10,48,72,5.162,2024-10-29 20:43:58.762800,2024-10-29 20:44:52.831700,1253.864326225541,145.3679517507112,1437.1142077922077,159.87738738404454,1345.4892670088743,150.8089901132112,3829.159981447124,278.4025974025974,30.971985157699446,247.776,371.664,1.81891991163538e-05,1.2463145624577203e-05,1496.2982571220855,0.1308114565147516,0.0146619851498955,0.1454734416646471,0.0045068470002536,0.0046321025554128,0.0091389495556665,0.1546123912203137,removeDuplicates,350,False,False,False,False
9,randomSeq_2G_int,10,80,48,5.176,2024-10-28 05:06:01.598500,2024-10-28 05:06:55.903400,1257.6831731271834,154.86302990750306,1441.4300516605167,169.41181697416974,1410.8055719049612,158.50022667416974,6308.086014760148,278.48339483394835,32.730258302583024,414.08,248.448,1.81891991163538e-05,1.2463145624577203e-05,1569.3057985791309,0.1371616528240934,0.0154097442599887,0.1525713970840821,0.0075317835700997,0.0030964436041349,0.0106282271742347,0.1631996242583169,removeDuplicates,350,False,False,False,False
10,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.1270140349407956,0.0143296548342156,0.1413436897750112,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.150860797668239,removeDuplicates,350,False,True,True,False
11,randomSeq_2G_int,10,64,80,5.115,2024-10-28 00:43:32.917200,2024-10-28 00:44:26.503500,1239.120394766854,148.5766109522472,1420.701786516854,162.9539382022472,1360.1746559335209,154.56716397308054,5032.720655430711,277.75205992509365,31.85805243445693,327.36,409.2000000000001,1.81891991163538e-05,1.2463145624577203e-05,1514.7418199066014,0.1322392026602034,0.0150273631640494,0.1472665658242529,0.0059544162227295,0.0050999191895769,0.0110543354123065,0.1583209012365594,removeDuplicates,350,False,False,False,False
12,randomSeq_2G_int,10,16,8,201.573,2024-10-30 01:36:42.906000,2024-10-30 02:10:23.484400,16840.365627942385,2582.298883519364,23996.163453792386,3148.8836314693635,18032.998598917384,2605.9065813506136,286.96095478881614,119.04453202458852,15.621554630180448,3225.168,1612.584,1.81891991163538e-05,1.2463145624577203e-05,20638.905180268,1.7532081971169675,0.2533520287424207,2.0065602258593884,0.0586632229356925,0.0200978692238632,0.0787610921595557,2.085321318018944,removeDuplicates,350,False,False,False,False
13,randomSeq_2G_int,10,16,88,7.899,2024-10-29 20:36:57.172800,2024-10-29 20:38:18.326100,1340.667775524074,159.94537359444448,1621.080564074074,182.14801444444447,1387.4032402824073,170.1215839840278,1428.7111111111124,205.226049382716,23.05962962962964,126.384,695.112,1.81891991163538e-05,1.2463145624577203e-05,1557.5248242664352,0.1348864261385673,0.0165395984428915,0.1514260245814589,0.0022988237411212,0.0086632820813911,0.0109621058225123,0.1623881304039713,removeDuplicates,350,False,False,False,False
14,randomSeq_2G_int,10,32,72,5.735,2024-10-29 20:45:30.766200,2024-10-29 20:46:30.576200,1326.1574464423936,147.97794628243847,1529.7487038590602,164.0979798657718,1394.0211989146158,154.02295887618843,2639.8425167785235,266.7390939597315,28.613422818791943,183.52,412.92,1.81891991163538e-05,1.2463145624577203e-05,1548.044157790804,0.1355298387833654,0.0149744543351849,0.1505042931185504,0.0033380818218332,0.0051462820913004,0.0084843639131336,0.158988657031684,removeDuplicates,350,False,False,False,False
15,randomSeq_2G_int,10,32,88,5.726,2024-10-29 20:35:12.004700,2024-10-29 20:36:11.743300,1326.1389976803134,147.56510403512308,1529.41075704698,163.6598402684564,1393.8962508025356,154.94185814206753,2626.207634228188,267.09932885906045,28.58187919463088,183.232,503.888,1.81891991163538e-05,1.2463145624577203e-05,1548.8381089446032,0.1355176910502465,0.0150637917638121,0.1505814828140586,0.0033328433324877,0.0062800295224769,0.0096128728549646,0.1601943556690233,removeDuplicates,350,False,False,False,False
16,randomSeq_2G_int,10,16,72,7.854,2024-10-29 20:47:16.379000,2024-10-29 20:48:37.121800,1358.8283730754645,158.6709551936803,1637.6436713754645,180.7471092936803,1405.2975894587978,166.9495129811803,1424.6752416356892,208.51078066914496,23.01338289962825,125.664,565.488,1.81891991163538e-05,1.2463145624577203e-05,1572.247102439978,0.1366261545307164,0.016231202650948,0.1528573571816645,0.0022857275177574,0.0070477592929509,0.0093334868107083,0.1621908439923729,removeDuplicates,350,False,False,False,False
17,randomSeq_2G_int,10,80,64,5.209,2024-10-28 02:08:52.230900,2024-10-28 02:09:46.791900,1260.777930818501,155.1422268090214,1445.696302201835,169.78377082568807,1414.8765736379455,160.02274148124363,6276.761284403669,277.53816513761467,32.594311926605506,416.72,333.376,1.81891991163538e-05,1.2463145624577203e-05,1574.8993151191892,0.1375574446592447,0.0155577665328986,0.1531152111921433,0.0075798030557669,0.004154913635739,0.011734716691506,0.1648499278836493,removeDuplicates,350,False,False,False,False
18,randomSeq_2G_int,10,64,16,72.944,2024-10-29 06:22:26.476800,2024-10-29 06:34:41.125700,8425.81432796253,1094.2100886441506,11015.310523429196,1299.242299577484,10152.145124940307,1111.2961062219283,733.5826591249829,151.01050838217256,17.81150333923947,4668.416,1167.104,1.81891991163538e-05,1.2463145624577203e-05,11263.441231162236,0.9870141093691964,0.1080426769937985,1.095056786362995,0.0849147481819719,0.0145457871110265,0.0994605352929984,1.1945173216559934,removeDuplicates,350,False,False,False,False
19,randomSeq_2G_int,10,32,32,9.395,2024-10-29 05:25:38.118900,2024-10-29 05:27:15.980500,1641.50566710841,185.98765223754688,1975.0261315250768,212.39527482088025,1752.6791552472987,190.3889226681024,1937.9419651995909,210.2209825997953,22.607267144319344,300.64,300.64,1.81891991163538e-05,1.2463145624577203e-05,1943.068077915401,0.1703993623157096,0.0185100341482877,0.1889093964639973,0.0054684008223406,0.0037469201005728,0.0092153209229134,0.1981247173869108,removeDuplicates,350,False,False,False,False
20,randomSeq_2G_int,10,16,80,7.744,2024-10-28 01:29:27.026800,2024-10-28 01:30:46.648800,1297.7139234012575,154.78454667672958,1572.624245534591,176.55151094339624,1343.5323104234797,163.854115121174,1423.081496855347,203.07647798742136,22.79849056603774,123.904,619.52,1.81891991163538e-05,1.2463145624577203e-05,1507.3864255446538,0.1306211968467271,0.0159302611923363,0.1465514580390635,0.0022537145273127,0.007721167977338,0.0099748825046507,0.1565263405437143,removeDuplicates,350,False,False,False,False
21,randomSeq_2G_int,10,80,88,5.18,2024-10-29 20:30:40.317300,2024-10-29 20:31:34.595300,1257.907151908195,156.0027201287739,1441.7960295748617,170.5627504621072,1411.1478832970838,162.676067364885,6480.58484288355,278.3390018484289,32.9271719038817,414.4,455.84,1.81891991163538e-05,1.2463145624577203e-05,1573.8239506619689,0.1371949330983276,0.015815728771586,0.1530106618699136,0.007537604113817,0.0056812003015072,0.0132188044153242,0.1662294662852379,removeDuplicates,350,False,False,False,False
22,randomSeq_2G_int,10,80,80,5.178,2024-10-28 00:28:35.417500,2024-10-28 00:29:29.658100,1252.4186257817005,155.0246127417745,1436.2365038817006,169.5790214417745,1405.600190865034,161.08894970010783,6283.6008872458415,277.3728280961183,32.74990757855823,414.24,414.24,1.81891991163538e-05,1.2463145624577203e-05,1566.6891405651418,0.1366555741118783,0.0156614256652882,0.1523169997771665,0.0075346938419583,0.0051627334435248,0.0126974272854832,0.1650144270626498,removeDuplicates,350,False,False,False,False
